"Country","Overall Rank","Overall Score","Div/Cap Gains Exemption Rank","Div/Cap Gains Exemption Score","Withholding Taxes Rank","Withholding Taxes Score","Tax Treaties Rank","Tax Treaties Score","Anti-Tax Avoidance Rank","Anti-Tax Avoidance Score"
"Australia",24,"72.3",1,"100.0",27,"40.8",33,"41.4",4,"77.4"
"Austria",7,"86.7",1,"100.0",16,"59.2",11,"71.7",8,"57.3"
"Belgium",18,"77.9",1,"100.0",36,"25.9",7,"75.9",8,"57.3"
"Canada",16,"80.4",31,"69.7",31,"38.3",4,"76.6",4,"77.4"
"Chile",37,"34.4",35,"28.0",35,"31.2",36,"33.1",22,"54.7"
"Colombia",35,"43.7",28,"76.5",28,"40.5",37,"16.6",22,"54.7"
"Czech Republic",12,"82.3",15,"81.5",13,"63.0",11,"71.7",8,"57.3"
"Denmark",30,"63.2",15,"81.5",24,"45.7",21,"62.1",31,"34.6"
"Estonia",15,"80.6",15,"81.5",3,"91.2",29,"50.3",8,"57.3"
"Finland",21,"74.3",15,"81.5",11,"65.5",20,"62.8",25,"45.9"
"France",13,"80.7",27,"77.2",18,"51.7",2,"94.5",31,"34.6"
"Germany",6,"90.0",14,"97.3",12,"63.8",4,"76.6",8,"57.3"
"Greece",25,"72.2",15,"81.5",10,"67.0",31,"49.7",8,"57.3"
"Hungary",4,"97.4",1,"100.0",1,"100.0",17,"66.2",8,"57.3"
"Iceland",31,"61.8",1,"100.0",17,"56.6",33,"41.4",31,"34.6"
"Ireland",19,"76.7",34,"51.6",23,"46.4",22,"60.7",2,"97.4"
"Israel",10,"83.2",1,"100.0",33,"37.3",29,"50.3",2,"97.4"
"Italy",26,"69.1",25,"78.8",30,"38.9",3,"79.3",31,"34.6"
"Japan",27,"69.1",30,"75.0",21,"49.6",23,"58.6",8,"57.3"
"Korea",33,"57.5",35,"28.0",24,"45.7",8,"74.5",25,"45.9"
"Latvia",9,"84.9",15,"81.5",1,"100.0",26,"53.1",8,"57.3"
"Lithuania",23,"72.5",15,"81.5",8,"71.1",32,"47.6",8,"57.3"
"Luxembourg",5,"93.9",1,"100.0",4,"87.3",16,"67.6",8,"57.3"
"Mexico",36,"37.5",35,"28.0",34,"34.7",27,"51.0",31,"34.6"
"Netherlands",3,"98.6",1,"100.0",4,"87.3",4,"76.6",8,"57.3"
"New Zealand",22,"73.7",1,"100.0",20,"50.3",35,"37.9",4,"77.4"
"Norway",11,"82.4",24,"80.6",6,"78.9",13,"70.3",25,"45.9"
"Poland",29,"65.7",33,"58.0",19,"51.5",15,"69.0",25,"45.9"
"Portugal",28,"66.0",15,"81.5",31,"38.3",19,"64.1",25,"45.9"
"Slovak Republic",34,"55.2",15,"81.5",29,"39.6",23,"58.6",37,"23.3"
"Slovenia",20,"74.7",32,"67.7",13,"63.0",27,"51.0",4,"77.4"
"Spain",17,"78.2",25,"78.8",22,"48.7",8,"74.5",8,"57.3"
"Sweden",14,"80.6",1,"100.0",7,"74.7",17,"66.2",31,"34.6"
"Switzerland",2,"99.0",1,"100.0",26,"44.4",8,"74.5",1,"100.0"
"Turkey",8,"85.7",1,"100.0",15,"62.3",14,"69.7",22,"54.7"
"United Kingdom",1,"100.0",1,"100.0",9,"67.5",1,"100.0",25,"45.9"
"United States",32,"60.3",28,"76.5",36,"25.9",25,"55.9",8,"57.3"
