"country","property_tax","property_taxes_deductible","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax"
"","Real Property Taxes","","","Wealth/Estate Taxes","","Capital/Transaction Taxes","","",""
"Country","Real Property or Land Tax","Real Property Taxes Deductible","Real Property Taxes as % of Capital Stock","Wealth Tax","Estate/Inheritance Tax","Transfer Taxes","Asset Taxes","Capital Duties","Financial Transaction Tax"
"Australia","Land Tax Levied by Individual States (a)","No","0.8%","No","None","Stamp Duty on Transfer of Real Property","Bank Tax","No","No"
"Austria","Tax on Real Property","No","0.1%","No","None","Real Estate Transfer Tax","Bank Tax","No","No"
"Belgium","Tax on Real Property (b)","Yes","0.6%","Wealth Tax on Selected Assets","Inheritance and Gift Tax","Real Estate Transfer Tax","Bank Tax","No","Yes"
"Canada","Tax on Real Property","Yes","1.6%","No","None","Real Estate Transfer Tax","Bank Tax in certain provinces","Yes","No"
"Chile","Tax on Real Property","Yes","0.5%","No","Inheritance and Gift Tax","No","Yearly fee on tax-adjusted equity","No","No"
"Colombia","Tax on Real Property","Yes","0.5%","Net Wealth Tax ","None","Real Estate Registration Tax","No","Yes","Yes"
"Costa Rica","Tax on Real Property","Yes","0.2%","No","None","Real Estate Transfer Tax","No","No","Yes"
"Czech Republic","Tax on Real Property","Yes","0.1%","No","Inheritances and gifts are subject to Income Tax","No","No","No","No"
"Denmark","Tax on Real Property","Yes","0.7%","No","Inheritance and Gift Tax","Real Estate Transfer Tax","No","No","No"
"Estonia","Land Tax","No","0.1%","No","None","No","No","No","No"
"Finland","Tax on Real Property","Yes","0.4%","No","Inheritance and Gift Tax","Real Estate Transfer Tax","No","No","Yes"
"France","Tax on Real Property","Yes","1.0%","Wealth Tax on Selected Assets","Inheritance and Gift Tax","Real Estate Transfer Tax","Bank Tax","No","Yes"
"Germany","Tax on Real Property (c)","Yes","0.2%","No","Inheritance and Gift Tax","Real Estate Transfer Tax","No","No","No"
"Greece","Tax on Real Property","Yes","1.1%","No","Inheritance and Gift Tax","Real Estate Transfer Tax","Bank Tax","Yes","No"
"Hungary","Tax on Real Property","Yes","0.3%","No","Inheritance and Gift Tax","Real Estate Transfer Tax","Bank Tax","No","Yes"
"Iceland","Tax on Real Property","No","1.1%","No","Inheritance Tax","Stamp Duty on Transfer of Real Property","Bank Tax","No","No"
"Ireland","Tax on Real Property","Yes","0.2%","No","Inheritance and Gift Tax","Stamp Duty on Transfer of Real Property","No","No","Yes"
"Israel","Tax on Sale of Real Property (d)","Yes","1.2%","No","None","Real Estate Transfer Tax (f)","No","No","No"
"Italy","Tax on Real Property","No","0.6%","Wealth Tax on Selected Assets","Inheritance and Gift Tax","Real Estate Transfer Tax","No","Yes","Yes"
"Japan","Tax on Real Property","Yes","0.8%","No","Inheritance and Gift Tax","Real Estate Transfer Tax","Fixed assets tax","Yes","No"
"Korea","Tax on Real Property","No","0.5%","No","Inheritance and Gift Tax","Real Estate Transfer Tax","No","Yes","Yes"
"Latvia","Tax on Real Property","Yes","0.4%","No","None","Stamp Duty on Transfer of Real Property","No","No","No"
"Lithuania","Tax on Real Property","Yes","0.2%","No","Inheritance Tax","No","No","No","No"
"Luxembourg","Tax on Real Property","Yes","0.0%","No","Inheritance and Gift Tax","Real Estate Transfer Tax","Tax on Corporate Net Assets","No","No"
"Mexico","Tax on Real Property","Yes","0.1%","No","Income Tax can apply","Real Estate Transfer Tax","No","No","No"
"Netherlands","Tax on Real Property","Yes","0.6%","No","Inheritance and Gift Tax","Real Estate Transfer Tax","Bank Tax","No","No"
"New Zealand","Land Value Tax (e)","No","1.3%","No","None","No","No","No","No"
"Norway","Tax on Real Property","Yes","0.2%","Net Wealth Tax","None","Stamp Duty on Transfer of Real Property","No","No","No"
"Poland","Tax on Real Property","Yes","0.9%","No","Inheritance and Gift Tax","Real Estate Transfer Tax","Bank Tax","Yes","Yes"
"Portugal","Tax on Real Property","Yes","0.4%","No","Stamp Duty applies to Inheritance and Gifts","Real Estate Transfer Tax","Bank Tax","No","No"
"Slovak Republic","Tax on Real Property","Yes","0.3%","No","None","No","Bank Tax","No","No"
"Slovenia","Tax on Real Property","No","0.3%","No","Inheritance and Gift Tax","Real Estate Transfer Tax","No","No","No"
"Spain","Tax on Real Property","Yes","0.6%","Net Wealth Tax","Inheritance and Gift Tax","Real Estate Transfer Tax","No","Yes","Yes"
"Sweden","Tax on Real Property","Yes","0.3%","No","None","Stamp Duty on Transfer of Real Property","Bank Tax","No","No"
"Switzerland","Tax on Real Property","Yes","0.1%","Net Wealth Tax","Many cantons levy both Estate and Gift Taxes","Real Estate Transfer Tax","Cantonal/Community Equity Tax","Yes","Yes"
"Turkey","Tax on Real Property","Yes","0.1%","No","Inheritance and Gift Tax","Real Estate Transfer Tax","No","Yes","Yes"
"United Kingdom","Tax on Real Property","Yes","1.8%","No","Inheritance and Gift Tax","Stamp Duty on Transfer of Real Property","Bank Tax","No","Yes"
"United States","Tax on Real Property","Yes","1.7%","No","Inheritance and Gift Tax","Real Estate Transfer Tax","Tangible Property Taxes and Capital Stock Taxes","No","No"
"Notes:","","","","","","","","",""
"(a) Applies to some real estate (vacation homes).","","","","","","","","",""
"(b) Tax on the imputed rent of properties. Applies to machinery.","","","","","","","","",""
"(c) Representative model with state-level deviations.","","","","","","","","",""
"(d) The Land Appreciation Tax is levied like a capital gains tax on the sale of property.","","","","","","","","",""
"(e) Levied by local governments. A few cities tax capital improvements.","","","","","","","","",""
