ISO_2,ISO_3,Country,Year,Final Rank,Final Score,Corporate Rank,Corporate Score,Income Rank,Income Score,Consumption Rank,Consumption Score,Property Rank,Property Score,Cross-Border Rank,Cross-Border Score,Reform Scenario
EE,EST,Estonia,2014,1,100,1,100,2,97.3259356,12,66.95033196,1,100,10,76.39968009,
EE,EST,Estonia,2015,1,100,1,100,2,97.5285184,14,68.04714742,1,100,9,77.01507115,
EE,EST,Estonia,2016,1,100,1,100,4,97.87037622,14,64.1887928,1,100,9,79.00827311,
EE,EST,Estonia,2017,1,100,1,100,3,97.99619229,12,71.99185365,1,100,3,84.85773097,
EE,EST,Estonia,2018,1,100,1,100,2,97.64408915,14,64.92213627,1,100,5,84.77999545,
EE,EST,Estonia,2019,1,100,2,99.00422205,4,94.42355982,14,64.115873,1,100,15,82.07793177,
EE,EST,Estonia,2020,1,100,2,98.93563607,4,94.47098475,14,64.86805358,1,100,13,82.22383848,
EE,EST,Estonia,2021,1,100,2,98.87565316,3,98.60887439,14,63.96937423,1,100,13,82.21484523,
EE,EST,Estonia,2022,1,100,2,98.89475788,1,100,14,61.40912934,1,100,14,83.12497293,baseline
EE,EST,Estonia,2022,1,100,2,98.89475788,1,100,18,55.41792324,1,100,14,83.12497293,VAT rate to 22%
EE,EST,Estonia,2022,1,100,2,94.85284393,1,100,18,55.41792324,1,100,14,83.12497293,VAT rate to 22% + CIT rate to 22%
