,Consumption Tax Rate,Consumption Tax Base,,VAT Complexity
Country,VAT/ Sales Tax Rate ,VAT Threshold (a),VAT Base as a Percent of Total Consumption,Complexity (Hours to Comply)
Australia,10.00%,"$50,335.57 ",49.00%,50
Austria,20.00%,"$37,500.00 ",59.00%,35
Belgium,21.00%,"$31,250.00 ",47.00%,75
Canada,12.40%,"$24,000.00 ",49.00%,50
Chile,19.00%,$0.00 ,63.00%,123.5
Czech Republic,21.00%,"$76,923.08 ",58.00%,102
Denmark,25.00%,"$6,793.48 ",59.00%,40
Estonia,20.00%,"$74,074.07 ",70.00%,14
Finland,24.00%,"$10,989.01 ",54.00%,24
France,20.00%,"$101,481.48 ",48.00%,31
Germany,19.00%,"$22,435.90 ",55.00%,43
Greece,24.00%,"$16,666.67 ",37.00%,69
Hungary,27.00%,"$59,259.26 ",57.00%,96
Iceland ,24.00%,"$6,944.44 ",46.00%,40
Ireland,23.00%,"$92,592.59 ",49.00%,30
Israel,17.00%,"$25,850.13 ",63.00%,69
Italy,22.00%,"$41,666.67 ",37.00%,30
Japan,8.00%,"$100,000.00 ",70.00%,21
Korea,10.00%,"$27,428.57 ",69.00%,25
Latvia,21.00%,"$80,000.00 ",51.00%,66
Lithuania,,,,47
Luxembourg,17.00%,"$33,333.33 ",100.00%,22
Mexico,16.00%,$0.00 ,32.00%,100
Netherlands,21.00%,"$1,640.24 ",48.00%,34
New Zealand,15.00%,"$40,816.33 ",97.00%,47
Norway,25.00%,"$4,950.50 ",56.00%,40
Poland,23.00%,"$111,731.84 ",44.00%,172
Portugal,23.00%,"$16,949.15 ",48.00%,90
Slovak Republic,20.00%,"$101,612.24 ",48.00%,84
Slovenia,22.00%,"$83,333.33 ",60.00%,69
Spain,21.00%,$0.00 ,41.00%,30.5
Sweden    ,25.00%,"$3,303.96 ",57.00%,36
Switzerland,7.70%,"$81,300.81 ",71.00%,8
Turkey,18.00%,$0.00 ,42.00%,75
United Kingdom,20.00%,"$121,428.57 ",44.00%,25
United States,7.40%,$0.00 ,40.00%,33
,,,,
,,,,
"Notes (a) In U.S. dollars (PPP). (b) The Canadian rate is the federal VAT plus the average of the provincial rates. (c) In the U.S. and Canada, some states and provinces levy sales taxes on capital inputs. (d) The United States' rate is the combined weighted average state and local sales tax rate.",,,,
