,Ordinary Income and Payroll Taxes,,,Income Tax Complexity,,Capital Gains/Dividends,
Country,Top Marginal Ordinary Income Rate,Top Income Tax Rate Threshold (a),Ratio of Marginal to Average Tax Wedge,Income Tax Complexity (Payments),Income Tax Complexity (Time),Top Marginal Capital Gains Tax Rate (b),Top Marginal Dividends Tax Rate (b)
Australia,49.00%,2.2,1.4,4,18,24.50%,24.30%
Austria,48.00%,8,1.1,3,50,27.50%,27.50%
Belgium,60.50%,1,1.2,2,40,0.00%,30.00%
Canada,53.50%,4.3,1.2,3,36,26.80%,39.30%
Chile,40.00%,9.8,1.1,1,124.5,35.00%,13.30%
Czech Republic,31.10%,0.4,1.1,2,75,15.00%,15.00%
Denmark,55.80%,1.2,1.3,1,65,42.00%,42.00%
Estonia,56.30%,0.4,1.1,0,31,20.00%,0.00%
Finland,58.90%,1.8,1.3,3,48,34.00%,28.90%
France,55.10%,14.8,1.2,2,80,30.00%,44.00%
Germany,47.50%,5.5,1.1,1,134,26.40%,26.40%
Greece,55.00%,3.8,1.3,1,46,25.00%,15.00%
Hungary,33.50%,0,1,2,146,15.00%,15.00%
Iceland ,44.40%,1.3,1.3,13,60,22.00%,20.00%
Ireland,52.00%,2,1.7,1,40,33.00%,51.00%
Israel,50.00%,5.6,1.8,12,60,28.00%,27.00%
Italy,48.80%,9.8,1.2,1,169,26.00%,26.00%
Japan,56.10%,8.6,1.1,14,70.5,20.40%,20.30%
Korea,43.20%,4,1.3,2,80,0.00%,37.80%
Latvia,19.00%,0.1,1,1,80,20.00%,10.00%
Lithuania,,,,1,34,20.00%,
Luxembourg,45.50%,2.9,1.4,12,14,0.00%,21.00%
Mexico,35.00%,26.9,1.2,2,38.5,10.00%,17.10%
Netherlands,52.70%,1.4,1.3,1,64,30.00%,25.00%
New Zealand,33.00%,1.2,1.5,2,59,0.00%,6.90%
Norway,46.90%,1.6,1.3,1,15,31.70%,29.80%
Poland,38.80%,2.1,1,2,103,19.00%,19.00%
Portugal,61.30%,15.8,1.3,1,90,28.00%,28.00%
Slovak Republic,35.10%,3.7,1.1,1,62,0.00%,7.00%
Slovenia,61.10%,5.2,1.2,1,90,0.00%,25.00%
Spain,45.00%,2.4,1.1,1,84,23.00%,23.00%
Sweden    ,60.10%,1.5,1.2,1,36,30.00%,30.00%
Switzerland,41.70%,3.5,1.3,7,40,0.00%,21.10%
Turkey,35.80%,3.5,1.2,1,71,0.00%,17.50%
United Kingdom,47.00%,4,1.4,1,48,20.00%,38.10%
United States,48.60%,8.1,1.3,3.6,55,23.80%,28.50%
,,,,,,,
Notes: ,,,,,,,
"(a) Multiple of the average income at which the highest tax bracket applies, in U.S. dollars in Purchasing Power Parity (PPP). ",,,,,,,
"(b) After any imputation, credit or offset. When the capital gains tax rate varies by type of asset sold, the tax rate applying to the sale of listed shares after an extended period of time is used.",,,,,,,
,,,,,,,
Top Capital Gains Tax Rates:,,,,,,,
"Australia: Only 50% of capital gains are taxable, thus the applicable top personal income tax is effectively 24.5% instead of 49%.",,,,,,,
"Germany: On top of the 25% flat tax rate, there is a solidarity surcharge of 5.5% of the tax amount, leading to an effective tax rate of 26.4%.",,,,,,,
