"ISO-3","year","pdvmachines","pdvbuildings","pdvintangibles","country","ISO-2"
"AUS",2019,0.851484971473245,0.479318672008477,0.547953910556565,"Australia","AU"
"AUT",2019,0.813463195231154,0.391406012913837,0.737888702767901,"Austria","AT"
"BEL",2019,0.882216122406083,0.622404878792567,0.802532679160089,"Belgium","BE"
"CAN",2019,1,0.426086956521739,0.49,"Canada","CA"
"CHE",2019,0.86,0.554838709677419,0.905263157894737,"Switzerland","CH"
"CHL",2019,0.632611659769417,0.338474732816403,0,"Chile","CL"
"CZE",2019,0.873879108036537,0.543222830616488,0.841318847888109,"Czech Republic","CZ"
"DEU",2019,0.737888702767901,0.391406012913837,0.869865253929667,"Germany","DE"
"DNK",2019,0.826923076923077,0.479318672008477,0.81340644290143,"Denmark","DK"
"ESP",2019,0.778563038959402,0.391406012913837,0.737888702767901,"Spain","ES"
"EST",2019,1,1,1,"Estonia","EE"
"FIN",2019,0.826923076923077,0.518965517241379,0.737888702767901,"Finland","FI"
"FRA",2019,0.857738015451725,0.547953910556565,0.869865253929667,"France","FR"
"GBR",2019,0.758823529411765,0.278958448750364,0.826923076923077,"United Kingdom","GB"
"GRC",2019,0.737888702767901,0.479318672008477,0.737888702767901,"Greece","GR"
"HUN",2019,0.816200383417959,0.278958448750364,0.869865253929667,"Hungary","HU"
"IRL",2019,0.787075165170195,0.479318672008477,0.547953910556565,"Ireland","IE"
"ISL",2019,0.86,0.602353618717047,0.812269350072009,"Iceland","IS"
"ISR",2019,0.869865253929667,0.391406012913837,0.787075165170195,"Israel","IL"
"ITA",2019,0.760252585046526,0.462657542127945,0.965116279069767,"Italy","IT"
"JPN",2019,0.769602272727273,0.278958448750364,0.787075165170195,"Japan","JP"
"KOR",2019,0.921720532319392,0.547953910556565,0.737888702767901,"Korea","KR"
"LTU",2019,0.918446601941748,0.838302752293578,0.980369718309859,"Lithuania","LT"
"LUX",2019,0.864209076145449,0.479318672008477,0.869865253929667,"Luxembourg","LU"
"LVA",2019,1,1,1,"Latvia","LV"
"MEX",2019,0.737888702767901,0.547953910556565,0.737888702767901,"Mexico","MX"
"NLD",2019,0.965116279069767,0.338474732816403,0.737888702767901,"Netherlands","NL"
"NOR",2019,0.781818181818182,0.373913043478261,0.737888702767901,"Norway","NO"
"NZL",2019,0.746588594704684,0.310056925996205,0.737888702767901,"New Zealand","NZ"
"POL",2019,0.737888702767901,0.338474732816403,0.869865253929667,"Poland","PL"
"PRT",2019,0.888411247396436,0.547953910556565,0.737888702767901,"Portugal","PT"
"SVK",2019,0.873879108036537,0.652728119257913,0.869865253929667,"Slovak Republic","SK"
"SVN",2019,0.869865253929667,0.391406012913837,0.737888702767901,"Slovenia","SI"
"SWE",2019,0.86,0.479318672008477,0.86,"Sweden","SE"
"TUR",2019,0.876323174170354,0.479318672008477,0.632327782275491,"Turkey","TR"
"USA",2019,1,0.34958311169213,0.632751338890881,"United States","US"
