ISO_2,ISO_3,Country,Year,Final Rank,Final Score,Corporate Rank,Corporate Score,Income Rank,Income Score,Consumption Rank,Consumption Score,Property Rank,Property Score,Cross-Border Rank,Cross-Border Score,
LT,LTU,Lithuania,2014,7,79.27022362,3,87.30610617,5,93.09342989,33,36.72631387,9,77.28774002,19,67.9022075,
LT,LTU,Lithuania,2015,8,78.73537417,2,85.43299723,6,89.69944727,34,38.55744061,9,77.3882615,17,68.67284596,
LT,LTU,Lithuania,2016,8,79.07660274,2,86.38101804,7,90.13254088,34,37.75543212,9,77.09343439,17,71.51515811,
LT,LTU,Lithuania,2017,7,76.69587816,2,83.9380948,7,89.77357095,34,40.31525143,9,76.77919904,17,71.3961133,
LT,LTU,Lithuania,2018,6,77.43790225,3,83.6362332,7,88.3912842,32,44.0674503,9,75.36629857,17,71.21109765,
LT,LTU,Lithuania,2019,8,78.67996834,3,84.86594101,9,81.26328466,31,43.6104058,9,75.35015654,21,75.53109954,
LT,LTU,Lithuania,2020,11,76.79485208,3,84.28806484,10,75.69503895,32,43.7848614,10,75.21442967,20,75.49226724,
LT,LTU,Lithuania,2021,9,76.62768916,3,84.61933914,10,79.62241888,31,45.83024102,10,75.0631004,20,75.56763754,
LT,LTU,Lithuania,2022,9,77.32217039,3,84.53026914,10,80.94716896,30,44.30294173,10,75.18610168,19,75.27840588,
LT,LTU,Lithuania,2023,6,77.81122963,3,84.72269674,10,80.9297766,27,50.49876591,10,75.15318281,19,74.18978723,
LT,LTU,Lithuania,2024,5,79.75081804,3,83.84014719,10,82.20625425,26,51.25666049,10,74.82275377,15,74.85793438,
LT,LTU,Lithuania,2025,6,81.59270868,3,83.59459621,9,80.62149768,27,50.23850696,10,74.52461396,16,77.1613146,Baseline 2025
,,,,,,,,,,,,,,,,
LT,LTU,Lithuania,2025,5,81.98545162,3,83.75224094,9,80.62149768,25,51.36714322,10,74.52461396,16,77.1613146,July bill: Corporate rate from 16% to 17%; Full expensing for machinery and intangibles; VAT base from 57.7% to 59.5%
,,,,,,,,,,,,,,,,Notably unchanged: Top PIT rate remains constant; top CGT rate for long-term gains stays at 20%; change in progressivity of labour taxation not modelled
PRELIMINARY RESULTS: NOT FOR PUBLIC DISTRIBUTION,,,,,,,,,,,,,,,,
