"country","year","vatrate"
"Australia","1975","-"
"Austria","1975","16"
"Belgium","1975","18"
"Canada","1975","-"
"Chile","1975","20"
"Czech Republic","1975","-"
"Denmark","1975","15"
"Estonia","1975","-"
"Finland","1975","-"
"France","1975","20"
"Germany","1975","11"
"Greece","1975","-"
"Hungary","1975","-"
"Iceland","1975","-"
"Ireland","1975","19.5"
"Israel","1975","-"
"Italy","1975","12"
"Japan","1975","-"
"Korea","1975","-"
"Latvia","1975","-"
"Lithuania","1975","-"
"Luxembourg","1975","10"
"Mexico","1975","-"
"Netherlands","1975","16"
"New Zealand","1975","-"
"Norway","1975","20"
"Poland","1975","-"
"Portugal","1975","-"
"Slovak Republic","1975","-"
"Slovenia","1975","-"
"Spain","1975","-"
"Sweden","1975","17.649999999999999"
"Switzerland","1975","-"
"Turkey","1975","-"
"United Kingdom","1975","8"
"United States","1975",""
"Australia","1985","-"
"Austria","1985","20"
"Belgium","1985","19"
"Canada","1985","-"
"Chile","1985","20"
"Czech Republic","1985","-"
"Denmark","1985","22"
"Estonia","1985","-"
"Finland","1985","-"
"France","1985","18.600000000000001"
"Germany","1985","14"
"Greece","1985","-"
"Hungary","1985","-"
"Iceland","1985","-"
"Ireland","1985","23"
"Israel","1985","15"
"Italy","1985","18"
"Japan","1985","-"
"Korea","1985","10"
"Latvia","1985","-"
"Lithuania","1985","-"
"Luxembourg","1985","12"
"Mexico","1985","15"
"Netherlands","1985","19"
"New Zealand","1985","-"
"Norway","1985","20"
"Poland","1985","-"
"Portugal","1985","-"
"Slovak Republic","1985","-"
"Slovenia","1985","-"
"Spain","1985","-"
"Sweden","1985","23.46"
"Switzerland","1985","-"
"Turkey","1985","10"
"United Kingdom","1985","15"
"United States","1985",""
"Australia","1995","-"
"Austria","1995","20"
"Belgium","1995","20.5"
"Canada","1995","7"
"Chile","1995","18"
"Czech Republic","1995","22"
"Denmark","1995","25"
"Estonia","1995","18"
"Finland","1995","22"
"France","1995","20.6"
"Germany","1995","15"
"Greece","1995","18"
"Hungary","1995","25"
"Iceland","1995","24.5"
"Ireland","1995","21"
"Israel","1995","17"
"Italy","1995","19"
"Japan","1995","3"
"Korea","1995","10"
"Latvia","1995","-"
"Lithuania","1995","18"
"Luxembourg","1995","15"
"Mexico","1995","10"
"Netherlands","1995","17.5"
"New Zealand","1995","12.5"
"Norway","1995","23"
"Poland","1995","22"
"Portugal","1995","17"
"Slovak Republic","1995","25"
"Slovenia","1995","-"
"Spain","1995","16"
"Sweden","1995","25"
"Switzerland","1995","6.5"
"Turkey","1995","15"
"United Kingdom","1995","17.5"
"United States","1995",""
"Australia","2005","10"
"Austria","2005","20"
"Belgium","2005","21"
"Canada","2005","7"
"Chile","2005","19"
"Czech Republic","2005","19"
"Denmark","2005","25"
"Estonia","2005","18"
"Finland","2005","22"
"France","2005","19.6"
"Germany","2005","16"
"Greece","2005","18"
"Hungary","2005","25"
"Iceland","2005","24.5"
"Ireland","2005","21"
"Israel","2005","17"
"Italy","2005","20"
"Japan","2005","5"
"Korea","2005","10"
"Latvia","2005","18"
"Lithuania","2005","18"
"Luxembourg","2005","15"
"Mexico","2005","15"
"Netherlands","2005","19"
"New Zealand","2005","12.5"
"Norway","2005","25"
"Poland","2005","22"
"Portugal","2005","19"
"Slovak Republic","2005","19"
"Slovenia","2005","20"
"Spain","2005","16"
"Sweden","2005","25"
"Switzerland","2005","7.6"
"Turkey","2005","18"
"United Kingdom","2005","17.5"
"United States","2005",""
"Australia","2007","10"
"Austria","2007","20"
"Belgium","2007","21"
"Canada","2007","6"
"Chile","2007","19"
"Czech Republic","2007","19"
"Denmark","2007","25"
"Estonia","2007","18"
"Finland","2007","22"
"France","2007","19.6"
"Germany","2007","19"
"Greece","2007","19"
"Hungary","2007","20"
"Iceland","2007","24.5"
"Ireland","2007","21"
"Israel","2007","15.5"
"Italy","2007","20"
"Japan","2007","5"
"Korea","2007","10"
"Latvia","2007","18"
"Lithuania","2007","18"
"Luxembourg","2007","15"
"Mexico","2007","15"
"Netherlands","2007","19"
"New Zealand","2007","12.5"
"Norway","2007","25"
"Poland","2007","22"
"Portugal","2007","21"
"Slovak Republic","2007","19"
"Slovenia","2007","20"
"Spain","2007","16"
"Sweden","2007","25"
"Switzerland","2007","7.6"
"Turkey","2007","18"
"United Kingdom","2007","17.5"
"United States","2007",""
"Australia","2008","10"
"Austria","2008","20"
"Belgium","2008","21"
"Canada","2008","5"
"Chile","2008","19"
"Czech Republic","2008","19"
"Denmark","2008","25"
"Estonia","2008","18"
"Finland","2008","22"
"France","2008","19.6"
"Germany","2008","19"
"Greece","2008","19"
"Hungary","2008","20"
"Iceland","2008","24.5"
"Ireland","2008","21"
"Israel","2008","15.5"
"Italy","2008","20"
"Japan","2008","5"
"Korea","2008","10"
"Latvia","2008","18"
"Lithuania","2008","18"
"Luxembourg","2008","15"
"Mexico","2008","15"
"Netherlands","2008","19"
"New Zealand","2008","12.5"
"Norway","2008","25"
"Poland","2008","22"
"Portugal","2008","21"
"Slovak Republic","2008","19"
"Slovenia","2008","20"
"Spain","2008","16"
"Sweden","2008","25"
"Switzerland","2008","7.6"
"Turkey","2008","18"
"United Kingdom","2008","17.5"
"United States","2008",""
"Australia","2009","10"
"Austria","2009","20"
"Belgium","2009","21"
"Canada","2009","5"
"Chile","2009","19"
"Czech Republic","2009","19"
"Denmark","2009","25"
"Estonia","2009","18"
"Finland","2009","22"
"France","2009","19.6"
"Germany","2009","19"
"Greece","2009","19"
"Hungary","2009","20"
"Iceland","2009","24.5"
"Ireland","2009","21.5"
"Israel","2009","15.5"
"Italy","2009","20"
"Japan","2009","5"
"Korea","2009","10"
"Latvia","2009","21"
"Lithuania","2009","19"
"Luxembourg","2009","15"
"Mexico","2009","15"
"Netherlands","2009","19"
"New Zealand","2009","12.5"
"Norway","2009","25"
"Poland","2009","22"
"Portugal","2009","20"
"Slovak Republic","2009","19"
"Slovenia","2009","20"
"Spain","2009","16"
"Sweden","2009","25"
"Switzerland","2009","7.6"
"Turkey","2009","18"
"United Kingdom","2009","15"
"United States","2009",""
"Australia","2010","10"
"Austria","2010","20"
"Belgium","2010","21"
"Canada","2010","5"
"Chile","2010","19"
"Czech Republic","2010","20"
"Denmark","2010","25"
"Estonia","2010","20"
"Finland","2010","22"
"France","2010","19.6"
"Germany","2010","19"
"Greece","2010","19"
"Hungary","2010","25"
"Iceland","2010","25.5"
"Ireland","2010","21"
"Israel","2010","16"
"Italy","2010","20"
"Japan","2010","5"
"Korea","2010","10"
"Latvia","2010","21"
"Lithuania","2010","21"
"Luxembourg","2010","15"
"Mexico","2010","16"
"Netherlands","2010","19"
"New Zealand","2010","12.5"
"Norway","2010","25"
"Poland","2010","22"
"Portugal","2010","20"
"Slovak Republic","2010","19"
"Slovenia","2010","20"
"Spain","2010","16"
"Sweden","2010","25"
"Switzerland","2010","7.6"
"Turkey","2010","18"
"United Kingdom","2010","17.5"
"United States","2010",""
"Australia","2011","10"
"Austria","2011","20"
"Belgium","2011","21"
"Canada","2011","5"
"Chile","2011","19"
"Czech Republic","2011","20"
"Denmark","2011","25"
"Estonia","2011","20"
"Finland","2011","23"
"France","2011","19.6"
"Germany","2011","19"
"Greece","2011","23"
"Hungary","2011","25"
"Iceland","2011","25.5"
"Ireland","2011","21"
"Israel","2011","16"
"Italy","2011","20"
"Japan","2011","5"
"Korea","2011","10"
"Latvia","2011","22"
"Lithuania","2011","21"
"Luxembourg","2011","15"
"Mexico","2011","16"
"Netherlands","2011","19"
"New Zealand","2011","15"
"Norway","2011","25"
"Poland","2011","23"
"Portugal","2011","23"
"Slovak Republic","2011","20"
"Slovenia","2011","20"
"Spain","2011","18"
"Sweden","2011","25"
"Switzerland","2011","8"
"Turkey","2011","18"
"United Kingdom","2011","20"
"United States","2011",""
"Australia","2012","10"
"Austria","2012","20"
"Belgium","2012","21"
"Canada","2012","5"
"Chile","2012","19"
"Czech Republic","2012","20"
"Denmark","2012","25"
"Estonia","2012","20"
"Finland","2012","23"
"France","2012","19.6"
"Germany","2012","19"
"Greece","2012","23"
"Hungary","2012","27"
"Iceland","2012","25.5"
"Ireland","2012","23"
"Israel","2012","16"
"Italy","2012","21"
"Japan","2012","5"
"Korea","2012","10"
"Latvia","2012","22"
"Lithuania","2012","21"
"Luxembourg","2012","15"
"Mexico","2012","16"
"Netherlands","2012","19"
"New Zealand","2012","15"
"Norway","2012","25"
"Poland","2012","23"
"Portugal","2012","23"
"Slovak Republic","2012","20"
"Slovenia","2012","20"
"Spain","2012","18"
"Sweden","2012","25"
"Switzerland","2012","8"
"Turkey","2012","18"
"United Kingdom","2012","20"
"United States","2012",""
"Australia","2013","10"
"Austria","2013","20"
"Belgium","2013","21"
"Canada","2013","5"
"Chile","2013","19"
"Czech Republic","2013","21"
"Denmark","2013","25"
"Estonia","2013","20"
"Finland","2013","24"
"France","2013","19.6"
"Germany","2013","19"
"Greece","2013","23"
"Hungary","2013","27"
"Iceland","2013","25.5"
"Ireland","2013","23"
"Israel","2013","17"
"Italy","2013","21"
"Japan","2013","5"
"Korea","2013","10"
"Latvia","2013","21"
"Lithuania","2013","21"
"Luxembourg","2013","15"
"Mexico","2013","16"
"Netherlands","2013","21"
"New Zealand","2013","15"
"Norway","2013","25"
"Poland","2013","23"
"Portugal","2013","23"
"Slovak Republic","2013","20"
"Slovenia","2013","20"
"Spain","2013","21"
"Sweden","2013","25"
"Switzerland","2013","8"
"Turkey","2013","18"
"United Kingdom","2013","20"
"United States","2013",""
"Australia","2014","10"
"Austria","2014","20"
"Belgium","2014","21"
"Canada","2014","5"
"Chile","2014","19"
"Czech Republic","2014","21"
"Denmark","2014","25"
"Estonia","2014","20"
"Finland","2014","24"
"France","2014","20"
"Germany","2014","19"
"Greece","2014","23"
"Hungary","2014","27"
"Iceland","2014","25.5"
"Ireland","2014","23"
"Israel","2014","18"
"Italy","2014","22"
"Japan","2014","5"
"Korea","2014","10"
"Latvia","2014","21"
"Lithuania","2014","21"
"Luxembourg","2014","15"
"Mexico","2014","16"
"Netherlands","2014","21"
"New Zealand","2014","15"
"Norway","2014","25"
"Poland","2014","23"
"Portugal","2014","23"
"Slovak Republic","2014","20"
"Slovenia","2014","22"
"Spain","2014","21"
"Sweden","2014","25"
"Switzerland","2014","8"
"Turkey","2014","18"
"United Kingdom","2014","20"
"United States","2014","7.2"
"Australia","2015","10"
"Austria","2015","20"
"Belgium","2015","21"
"Canada","2015","5"
"Chile","2015","19"
"Czech Republic","2015","21"
"Denmark","2015","25"
"Estonia","2015","20"
"Finland","2015","24"
"France","2015","20"
"Germany","2015","19"
"Greece","2015","23"
"Hungary","2015","27"
"Iceland","2015","24"
"Ireland","2015","23"
"Israel","2015","18"
"Italy","2015","22"
"Japan","2015","8"
"Korea","2015","10"
"Latvia","2015","21"
"Lithuania","2015","21"
