ISO_2,ISO_3,Country,Year,Final Rank,Final Score,Corporate Rank,Corporate Score,
CA,CAN,Canada,2014,27,65.07744147,26,59.422132,
CA,CAN,Canada,2015,25,65.38676851,24,57.94359308,
CA,CAN,Canada,2016,18,68.72434267,24,58.96468099,
CA,CAN,Canada,2017,15,69.31641707,25,60.02906142,
CA,CAN,Canada,2018,16,68.8820425,25,57.97465494,
CA,CAN,Canada,2019,16,71.15043593,25,60.56282981,
CA,CAN,Canada,2020,15,72.3818766,24,57.3101067,
CA,CAN,Canada,2021,16,69.37631814,26,55.35214755,
CA,CAN,Canada,2022,15,69.96812002,27,57.28107236,
CA,CAN,Canada,2023,15,69.80609056,24,58.01095378,2023 Index baseline
,,,,,,,,
CA,CAN,Canada,2023,15,70.39364098,22,59.98718906,Baseline correction for updated values of other countries
,,,,,,,,
CA,CAN,Canada,2023,15,69.99137273,23,58.62095001,Full phaseout (immediate expensing + accelerated investment incentive)
CA,CAN,Canada,2023,14,70.86515046,21,61.60128193,Reform permanence and intangible depreciation to OECD average
