"country","property_tax","property_taxes_deductible","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax"
"","Real Property Taxes","","","Wealth/Estate Taxes","","Capital/Transaction Taxes","","",""
"Country","Real Property or Land Tax","Real Property Taxes property_taxes_deductible","Real Property Taxes as % of Capital Stock","Net Wealth Tax","Estate/Inheritance Tax","Transfer Taxes","Asset Taxes","Capital Duties","Financial Transaction Tax"
"Australia","Land Tax Levied by Individual States (a)","No","1.0%","No","None","Stamp Duty on Transfer of Real Property","No","No","No"
"Austria","Tax on Real Property","No","0.1%","No","None","Real Estate Transfer Tax","Bank Tax","No","No"
"Belgium","Tax on Real Property (b)","Yes","0.8%","Yes","Inheritance and Gift Tax","Real Estate Transfer Tax","No","No","Yes"
"Canada","Tax on Real Property","Yes","1.9%","No","None","Real Estate and Real Property Transfer Tax","Bank Tax in certain provinces","Yes","No"
"Chile","Tax on Real Property","No","0.5%","No","Inheritance and Gift Tax","No","Yearly Fee on tax-adjusted equity","No","No"
"Czech Republic","Tax on Real Property","No","0.1%","No","Inheritances and gifts are subject to Income Tax","Real Estate Transfer Tax","No","No","No"
"Denmark","Tax on Real Property","Yes","0.9%","No","Inheritance and Gift Tax","No","No","No","No"
"Estonia","Land Tax","No","0.2%","No","None","No","No","No","No"
"Finland","Tax on Real Property","Yes","0.5%","No","Inheritance and Gift Tax","Real Property Transfer Tax","No","No","Yes"
"France","Tax on Real Property","No","1.7%","Yes","Inheritance and Gift Tax","Real Estate Transfer Tax","Bank Tax","No","Yes"
"Germany","Tax on Real Property","No","0.3%","No","Inheritance and Gift Tax","Real Estate Transfer Tax","No","No","No"
"Greece","Tax on Real Property","No","1.4%","No","Inheritance and Gift Tax","Real Estate Transfer Tax and Stamp Tax","No","Yes","No"
"Hungary","Tax on Real Property","No","0.4%","No","Inheritance and Gift Tax","Real Estate Transfer Tax","Bank Tax","No","Yes"
"Iceland","Tax on Real Property","No","1.3%","No","Inheritance and Gift Tax","No","Bank Tax","No","No"
"Ireland","Tax on Real Property","Yes","0.5%","No","Inheritance and Gift Tax","Stamp Duty on Transfer of Real Property","No","No","No"
"Israel","Tax on Sale of Real Property (c)","No","1.6%","No","None","Real Estate Transfer Tax (e)","No","No","No"
"Italy","Tax on Real Property","No","0.8%","Yes","Inheritance and Gift Tax","Real Property Transfer Tax","No","Yes","Yes"
"Japan","Tax on Real Property","No","1.1%","No","Inheritance and Gift Tax","Real Property Transfer Tax","Yes","Yes","No"
"Korea","Tax on Real Property","No","0.4%","No","Inheritance and Gift Tax","Real Property Transfer Tax","No","Yes","Yes"
"Latvia","Tax on Real Property","Yes","0.6%","No","None","Stamp Duty on Transfer of Real Property","No","No","No"
"Lithuania","Tax on Real Property","Yes","0.3%","No","Inheritance Tax; Gifts are subject to Income Tax","No","No","No","No"
"Luxembourg","Tax on Real Property","No","0.1%","No","Inheritance and Gift Tax","Real Property Transfer Tax","Tax on Corporate Net Assets","No","No"
"Mexico","Tax on Real Property","Yes","0.1%","No","Income Tax can apply to estates, some Gifts are subject to Income Tax, and Real Estate Transfer Tax can apply","Real Estate Transfer Tax","No","No","No"
"Netherlands","Tax on Real Property","Yes","0.7%","No","Inheritance and Gift Tax","Real Property Transfer Tax","No","No","No"
"New Zealand","Land Value Tax (d)","No","1.6%","No","None","No","No","No","No"
"Norway","Tax on Real Property","No","0.3%","Yes","None","Stamp Duty on Transfer of Real Property","Bank Tax","No","No"
"Poland","Tax on Real Property","No","1.1%","No","Inheritance and Gift Tax","Real Estate Transfer Tax","Bank Tax","Yes","Yes"
"Portugal","Tax on Real Property","Yes","0.6%","No","Stamp Duty applies to Inheritance and Gifts","Real Estate Transfer Tax","Bank Tax","No","Yes"
"Slovak Republic","Tax on Real Property","Yes","0.3%","No","None","No","Bank Tax","No","No"
"Slovenia","Tax on Real Property","No","0.3%","No","Inheritance and Gift Tax","Real Estate Transfer Tax","Bank Tax","No","No"
"Spain","Tax on Real Property","No","0.7%","Yes","Inheritance and Gift Tax","Real Estate Transfer Tax","No","Yes","No"
"Sweden","Tax on Real Property","Yes","0.5%","No","None","Stamp Duty on Transfer of Real Property","No","No","No"
"Switzerland","Tax on Real Property","No","0.1%","Yes","Many cantons levy both Estate and Gift Taxes","Real Estate Transfer Tax","Yes","Yes","Yes"
"Turkey","Tax on Real Property","Yes","0.2%","No","Inheritance and Gift Tax","Real Property Transfer Tax","No","Yes","Yes"
"United Kingdom","Tax on Real Property","Yes","2.6%","No","Inheritance and Gift Tax","Stamp Duty on Transfer of Real Property","Bank Tax","No","Yes"
"United States","Tax on Real Property","Yes","2.0%","No","Inheritance and Gift Tax","Real Property Transfer Tax","Intangible Property Taxes (f)","No","Yes"
"Notes:","","","","","","","","",""
"(a) Applies to some real estate (vacation homes).","","","","","","","","",""
"(b) Tax on the imputed rent of properties. Applies to machinery.","","","","","","","","",""
"(c) The Land Appreciation Tax is levied like a capital gains tax on the sale of property.","","","","","","","","",""
"(d) Levied by local governments. A few cities tax capital improvements.","","","","","","","","",""
"(e) The purchaser of real property is subject to a purchase tax.","","","","","","","","",""
"(f) Nine U.S. states levy a tax on intangible personal property.","","","","","","","","",""
