"country","vatrate","threshold","base","consumptiontime"
"","Consumption Tax Rate","Consumption Tax Base","","Consumption Tax Complexity"
"Country","VAT/Sales Tax Rate","VAT/Sales Tax Threshold (a)","VAT/Sales Tax Base as a Percent of Total Consumption","Complexity (Hours to Comply"
"Australia","10.0%","$50,950.98","49.6%","50"
"Austria","20.0%","$37,457.44","59.5%","35"
"Belgium","21.0%","$31,109.15","47.6%","75"
"Canada","11.1% (b)","$23,975.89","47.5%","50"
"Chile","19.0%","$0.00","63.8%","124"
"Czech Republic","21.0%","$76,296.54","60.0%","102"
"Denmark","25.0%","$6,907.64","59.6%","40"
"Estonia","20.0%","$72,611.89","72.8%","14"
"Finland","24.0%","$11,062.41","54.4%","24"
"France","20.0%","$103,912.92","48.6%","31"
"Germany","19.0%","$22,456.28","55.7%","43"
"Greece","24.0%","$16,710.70","43.7%","69"
"Hungary","27.0%","$57,601.50","56.7%","96"
"Iceland","24.0%","$14,202.16","54.7%","40"
"Ireland","23.0%","$92,218.14","49.9%","30"
"Israel","17.0%","$26,132.39","63.3%","69"
"Italy","22.0%","$90,380.96","37.9%","30"
"Japan","8.0%","$100,407.57","71.3%","21"
"Korea","10.0%","$34,205.49","69.6%","25"
"Latvia","21.0%","$79,773.92","55.2%","66"
"Lithuania","21.0%","$97,563.09","50.7%","47"
"Luxembourg","17.0%","$33,690.38","92.1%","22"
"Mexico","16.0%","$0.00","33.4%","100"
"Netherlands","21.0%","$1,650.19","51.4%","34"
"New Zealand","15.0%","$40,813.16","95.2%","47"
"Norway","25.0%","$4,916.69","56.6%","40"
"Poland","23.0%","$111,214.73","44.1%","172"
"Portugal","23.0%","$16,886.44","49.2%","90"
"Slovak Republic","20.0%","$100,763.36","49.5%","84"
"Slovenia","22.0%","$83,256.74","58.4%","69"
"Spain","21.0%","$0.00","43.1%","30"
"Sweden","25.0%","$3,296.89","59.8%","36"
"Switzerland","7.7%","$81,953.38","68.3%","8"
"Turkey","18.0%","$0.00","40.0%","75"
"United Kingdom","20.0%","$119,167.29","43.8%","25"
"United States","7.4% (c)","$0.00","40.0%","33"
"Notes:","","","",""
"(a) In U.S. dollars (Purchasing Power Parity).","","","",""
"(b) The Canadian rate is the average of the total sales tax rate for the provinces and includes Goods and Services Tax, Provincial Sales Tax, and Retail Sales Tax where applicable.","","","",""
"(c) The United States' rate is the combined weighted average state and local sales tax rate.","","","",""
