Country,Overall Rank,Overall Score,Corporate Tax Rank,Individual Taxes Rank,Consumption Taxes Rank,Property Taxes Rank,International Tax Rules Rank
Estonia,1,100,2,1,9,1,16
Latvia,2,84.4,1,5,26,6,9
New Zealand,3,82.4,24,4,6,2,20
Switzerland,4,77.1,14,14,1,34,3
Luxembourg,5,76,26,20,3,14,6
Lithuania,6,75.8,3,7,23,7,23
Sweden,7,74,8,19,16,5,11
Czech Republic,8,73.1,7,3,34,9,10
Australia,9,71.4,30,17,7,3,25
Slovak Republic,10,69.9,18,2,33,4,31
Turkey,11,69.9,15,6,20,21,12
Austria,12,68.7,21,29,13,13,5
Norway,13,68.1,11,15,18,19,14
Hungary,14,67.9,4,9,35,24,4
Germany,15,67.9,29,25,12,11,7
Finland,16,65.7,6,28,14,16,22
Netherlands,17,65.5,25,21,15,27,2
Canada,18,65.3,23,27,8,22,13
Belgium,19,64.1,13,10,28,20,19
Ireland,20,63.1,5,32,24,17,17
United States - Post-TCJA,21,62.9,19,23,5,28,32
United Kingdom,22,61.6,17,24,22,33,1
Slovenia,23,61.4,12,12,30,23,18
Korea,24,59.9,33,22,2,30,33
Israel,25,59.2,20,30,10,10,34
Japan,26,59.1,36,18,4,26,29
Spain,27,58.5,28,16,11,35,15
Denmark,28,58.3,16,35,17,15,28
Greece,29,55.9,22,8,31,32,24
United States - Pre-TCJA,,55.7,,,,,
Iceland,30,55.4,10,34,19,25,30
United States - Biden,,54.8,,,,,
Mexico,31,51.5,31,13,25,8,35
France,32,50.7,35,36,21,29,8
Portugal,33,46.9,34,31,32,18,26
Poland,34,46.6,9,11,36,31,27
Chile,35,46.3,32,26,27,12,36
Italy,36,44.3,27,33,29,36,21
