,Participation Exemption,,,Withholding Taxes,,,,Base Erosion Protections,,,
Country,Dividend Exemption,Capital Gains Exemption,Country Limitations,Dividend Withholding Tax,Interest Withholding Tax,Royalties Withholding Tax,Number of Tax Treaties,Controlled Foreign Corporation Rules,"Controlled Foreign Corporation Rules, Exemptions",Controlled Foreign Corporate Rules: Taxable Income,Interest Deduction Limitations
Australia,100.00%,100.00%,None,30.00%,10.00%,30.00%,44,Yes,CFC exempt if passes the active income test and narrower rules apply if located in a “listed” country,Passive,1.5:1 debt-to-equity ratio (15:1 for financial institutions) applies
Austria,100.00%,100.00%,None,27.50%,0.00%,20.00%,89,Yes,CFC with substantive economic activities exempted,Passive,Informal 4:1 debt-to-equity ratio applies
Belgium,100.00%,100.00%,None,30.00%,30.00%,30.00%,95,Yes,None,All Income Associated with Non-genuine Arrangements,"Interest deductions limited to the higher of €3 million or 30% of EBITDA
5:1 debt-to-equity ratio applies to intragroup loans
1:1 debt-to-equity ratio applies to receivables from shareholders or directors, managers, and liquidators"
Canada,100.00%,50.00%,Countries with a tax treaty or Tax Information Exchange Agreement,25.00%,25.00%,25.00%,94,Yes,Multiple rules may exempt CFC from taxation,Passive,1.5:1 debt-to-equity ratio applies
Chile,0.00%,0.00%,N/A,35.00%,35.00%,30.00%,33,Yes,None,Passive,"3:1 debt-to-equity ratio applies
A surtax for excessive-indebtedness can apply"
Czech Republic,100.00%,100.00%,EU member states and EEA member states or double tax treaty,15.00%,15.00%,15.00%,89,Yes,CFC with substantive economic activities exempted,Passive,"Interest deductions limited to the higher of CZK 80 million or 30% of EBITDA
4:1 debt-to-equity ratio (6:1 debt-to-equity ratio for certain financial services companies) applies"
Denmark,100.00%,100.00%,EU member states and EEA member states or double tax treaty,27.00%,22.00%,22.00%,75,Yes,Foreign subsidiaries are exempt if less than 1/3 of their income is financial income,All Income,"4:1 debt-to-equity ratio applies
Interest deductions are limited to 2.7% of assets
Interest deduction limited to 30% of EBITDA
Other rules can apply"
Estonia,100.00%,100.00%,EU member states and EEA member states and Switzerland,0.00%,0.00%,10.00%,58,Yes,"CFC exempt if profits below €750,000 or passive income below €75,000",All Income Associated with Non-genuine Arrangements,Interest deductions limited to the higher of €3 million or 30% of EBITDA
Finland,100.00%,100.00%,EU member states and EEA member states or double tax treaty,20.00%,0.00%,20.00%,76,Yes,"CFC exempt if i) located in EU or EEA and not an artificial arrangement; ii) industrial, manufacturing, and shipping business; or iii) Finland has a double-tax treaty with the foreign country (excluding tax treaty countries mentioned in a ""black list"")",All Income,"Interest deductions limited to 25% of EBITDA
Net interest expenses between non-related parties limited to €3 million"
France,95.00%,88.00%,Black-list countries are excluded,28.00%,0.00%,28.00%,122,Yes,"CFC exempt if located in EU and not an artificial arrangement, or if CFC carries out trading or manufacturing activity",All Income,"Interest deductions limited to the higher of €3 million or 30% of EBITDA
Different limits apply to related-party debt"
Germany,95.00%,95.00%,None,26.40%,0.00%,15.80%,96,Yes,CFC exempt if located in EU or EEA and not an artificial arrangement,Passive,Interest deductions limited to 30% of EBITDA if deduction exceeds €3 million
Greece,100.00%,100.00%,EU member states,5.00%,15.00%,20.00%,57,Yes,CFC exempt if located in EU or EEA country with exchange of information agreement and not an artificial arrangement,Passive,Interest deductions limited to 30% of EBITDA if deduction exceeds €3 million
Hungary,100.00%,100.00%,None,0.00%,0.00%,0.00%,81,Yes,CFC exempt if i) real economic activity; ii) below certain profit threshold and ratio; or iii) located in country with treaty allowing for an exemption,All Income Associated with Non-genuine Arrangements,Interest deductions limited to the higher of €3 million or 30% of EBITDA
Iceland ,100.00%,100.00%,None,20.00%,12.00%,20.00%,45,Yes,CFC exempt if located in EEA countries or has a double-tax treaty with Iceland and not an artificial arrangement,All Income,"Interest deductions limited to 30% of EBITDA
Rule does not apply if total interest paid does not exceed ISK 100 million 
Other exemptions can apply"
Ireland,0.00%,100.00%,EU member states and tax treaty countries,25.00%,20.00%,20.00%,73,Yes,CFC exempt if i) below certain profit and income thresholds; ii) transfer pricing rules apply; or iii) passes the essential purpose test,All Income Associated with Non-genuine Arrangements,"None
However, in specific cases, interest can be reclassified as a dividend"
Israel,0.00%,0.00%,N/A,30.00%,23.00%,23.00%,56,Yes,None,Passive,None
Italy,95.00%,95.00%,Black-list countries are excluded,26.00%,26.00%,22.50%,100,Yes,CFC with substantive economic activities exempted,All Income,Interest deductions limited to 30% of EBITDA
Japan,95.00%,0.00%,None,20.00%,20.00%,20.00%,69,Yes,Various exemptions can apply,All Income,"3:1 debt-to-equity ratio (2:1 for particular repo transactions) applies
Interest deductions limited to 20% of adjusted income"
