ISO_2,ISO_3,country,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax
AU,AUS,Australia,1,NA,0,0,1,1,0,0
AT,AUT,Austria,0,NA,0,0,1,1,0,0
BE,BEL,Belgium,0.5,NA,0.5,1,1,1,0,1
CA,CAN,Canada,0.5,NA,0,0,1,1,1,0
CL,CHL,Chile,0.5,NA,0,1,0,1,0,0
CO,COL,Colombia,0.5,,1,0,1,0,0,1
CZ,CZE,Czech Republic,0.5,NA,0,1,0,0,0,0
DK,DNK,Denmark,0.5,NA,0,1,1,0,0,0
EE,EST,Estonia,1,NA,0,0,0,0,0,0
FI,FIN,Finland,0.5,NA,0,1,1,0,0,1
FR,FRA,France,0.5,NA,0.5,1,1,1,0,1
DE,DEU,Germany,0.5,NA,0,1,1,0,0,0
GR,GRC,Greece,0.5,NA,0,1,1,1,1,0
HU,HUN,Hungary,0.5,NA,0,1,1,1,0,0
IS,ISL,Iceland,0,NA,0,1,0,1,0,0
IE,IRL,Ireland,0.5,NA,0,1,1,0,0,1
IL,ISR,Israel,0.5,NA,0,0,1,0,0,0
IT,ITA,Italy,0,NA,0.5,1,1,0,1,1
JP,JPN,Japan,0.5,NA,0,1,1,1,1,0
KR,KOR,Korea,0,NA,0,1,1,0,1,1
LV,LVA,Latvia,0.5,NA,0,0,1,0,0,0
LT,LTU,Lithuania,0.5,NA,0,1,0,0,0,0
LU,LUX,Luxembourg,0.5,NA,0,1,1,1,0,0
MX,MEX,Mexico,0.5,NA,0,1,1,0,0,0
NL,NLD,Netherlands,0.5,NA,0,1,1,1,0,0
NZ,NZL,New Zealand,1,NA,0,0,0,0,0,0
NO,NOR,Norway,0.5,NA,1,0,1,0,0,0
PL,POL,Poland,0.5,NA,0,1,1,1,1,1
PT,PRT,Portugal,0.5,NA,0,1,1,1,0,0
SK,SVK,Slovak Republic,0.5,NA,0,0,0,0,0,0
SI,SVN,Slovenia,0,NA,0,1,1,1,0,0
ES,ESP,Spain,0.5,NA,1,1,1,0,1,1
SE,SWE,Sweden,0.5,NA,0,0,1,1,0,0
CH,CHE,Switzerland,0.5,NA,1,1,1,1,1,1
TR,TUR,Turkey,0.5,NA,0,1,1,0,1,1
GB,GBR,United Kingdom,0.5,NA,0,1,1,1,0,1
US,USA,United States,0.5,NA,0,1,1,1,0,0
