STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COU,Country,STAT_DIV_TAX,Overall statutory tax rates on dividend income,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,LVA,Latvia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2004,,15,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,LVA,Latvia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2005,,15,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,LVA,Latvia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2006,,15,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,LVA,Latvia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2007,,15,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,LVA,Latvia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2008,,15,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,LVA,Latvia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2009,,15,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,GRC,Greece,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2007,,25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,GRC,Greece,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2008,,25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,LVA,Latvia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2000,,25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,LVA,Latvia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2001,,25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,MEX,Mexico,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2005,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,MEX,Mexico,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2010,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,MEX,Mexico,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2011,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,MEX,Mexico,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2012,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,MEX,Mexico,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2013,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,EST,Estonia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2015,,20,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,EST,Estonia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2016,,20,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,EST,Estonia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2017,,20,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,EST,Estonia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2018,,20,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,EST,Estonia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2019,,20,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,EST,Estonia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2020,,20,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,EST,Estonia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2021,,20,,A,,PC,Percentage,0,Units,,
