"country","year","corporate","consumption","property","income","international","final"
"Australia",2019,-0.338006981898664,0.516485636755839,0.787975910624382,0.0611110934746553,0.270356258595316,0.259584383510306
"Austria",2019,-0.0613114511026643,0.213442235165755,0.330763631953335,-0.390431568426974,0.616083513280287,0.141709272173948
"Belgium",2019,-0.235460307556061,-0.356891438875012,-0.39368251772538,0.248735406415916,-0.205699032488936,-0.188599578045895
"Canada",2019,-0.150676478364512,0.534423382428963,-0.0773484373688709,-0.188232362318085,0.0838051857088234,0.0403942580172635
"Chile",2019,-0.390963111842186,-0.365849665399148,0.0628540922312378,-0.151896187787496,-1.05185130042355,-0.379541234644229
"Czech Republic",2019,0.317106240647021,-0.652674916064409,0.129892790266433,0.577414369460721,0.430675238943478,0.160482744650649
"Denmark",2019,-0.0425155640278399,-0.019715782779204,0.381831173277769,-0.564559698879541,-0.359323064267657,-0.120856587335295
"Estonia",2019,1.20054295941182,0.433741991745672,1.20785534868364,0.916333580049886,0.305316541652005,0.812758084308605
"Finland",2019,0.387400267786252,0.114776344202756,0.117594671804983,-0.313472249693172,-0.12539616045638,0.0361805747288877
"France",2019,-0.655276922245669,-0.164739199427462,-1.06645871368931,-0.576590003657627,-0.18485217403149,-0.529583402610312
"Germany",2019,-0.243969452371877,0.213936123799397,0.0884309871516956,-0.247464921225613,0.380598486549337,0.038306244780588
"Greece",2019,-0.388570146999101,-0.476457112698419,-0.40027067909896,0.0479950159885133,-0.232536403149721,-0.289967865191538
"Hungary",2019,0.593857952201753,-0.93485182218557,-0.284044822049321,0.311972774814659,0.696669683392424,0.0767207532347891
"Iceland",2019,0.244091061650603,-0.0490262255611293,-0.143028759872653,-0.355615405049712,-0.108090671345109,-0.0823340000356002
"Ireland",2019,0.521900305138948,-0.27847077748658,0.287207145383342,-0.552300408020749,0.208826773747564,0.0374326077525049
"Israel",2019,-0.318613339031833,0.168472191251351,0.113931062975817,-1.02329123933054,-0.504194551798944,-0.312739175186829
"Italy",2019,-0.438995873642639,-0.357423308364319,-0.846302554337548,-0.532384395728753,-0.316149827659344,-0.498251191946521
"Japan",2019,-0.839965841814233,0.984416046175241,-0.489605596735626,-0.543961155542004,-0.0766690136869157,-0.193157112320708
"Korea",2019,-0.493722442579961,1.07872122729328,-0.319585513068353,-0.107861033247634,-0.832438352960006,-0.134977222912535
"Latvia",2019,1.20854739425101,-0.380521287091,0.632579608328006,0.571639600068813,0.397219834609295,0.485893030033224
"Lithuania",2019,0.770194847412348,-0.328963571308834,0.541674857394873,0.821932399817648,0.0950533070642767,0.379978368076062
"Luxembourg",2019,-0.20267253873102,0.949630026533872,-0.0191578142726301,0.0609101875279982,0.576724948729545,0.273086961957553
"Mexico",2019,-0.463906807357588,-0.330133705504516,0.381355705196927,0.149767287014962,-1.04009502944823,-0.260602510019688
"Netherlands",2019,-0.107714578548516,0.209721519092201,0.244253976584498,-0.134813760835079,0.634645668650225,0.169218564988666
"New Zealand",2019,-0.216233388213003,0.843791518768003,0.84189580704925,0.646667393117982,0.339883660100556,0.491200998164558
"Norway",2019,0.170336404986196,-0.0489765503944291,-0.149667300967214,0.108394630281056,0.0268704894476855,0.0213915346706589
"Poland",2019,0.124781332382426,-1.79874538636316,-0.657920990335186,0.265180651371464,-0.489030787920131,-0.511147036172917
"Portugal",2019,-0.654897701700422,-0.547724651732001,-0.0794752632873239,-0.527147350500345,-0.380492042156777,-0.437947401875374
"Slovak Republic",2019,0.0969855045415181,-0.650173478159283,0.756035762817987,0.907717429089758,-0.399260676759043,0.142260908306188
"Slovenia",2019,0.30970821772399,-0.447411007940387,-0.0932334580842079,0.0515049823158054,0.159945989597082,-0.00389705527754345
"Spain",2019,-0.197065222269204,0.146230857131303,-0.652900745232008,0.0828751214492355,0.0362749720752197,-0.116917003369091
"Sweden",2019,0.389170968701198,0.0358571914082132,0.659857682874511,-0.0845677060971923,0.194233855691763,0.238910398515699
"Switzerland",2019,0.317827359648302,1.16892566847164,-0.835007659880441,0.251736320147197,0.736547297765949,0.328005797230529
"Turkey",2019,-0.087408497316772,-0.132565150744526,0.0017387804536845,0.526780416646061,0.123150966571628,0.086339303122015
"United Kingdom",2019,0.0369815708406335,-0.230163524828864,-0.605183660723217,-0.138901160172533,0.32453090690423,-0.12254717359595
"United States",2019,-0.161485739710251,0.938906602684767,-0.454854508324118,-0.175178052539283,-0.331334490524457,-0.0367892376826685
